input,output,name,grade
latex2nemeth: -2136 \div 89,⠇⠩⠤⠼⠆⠂⠒⠖⠨⠌⠼⠦⠔⠇⠱,Division,Elementary
latex2nemeth: C \times L \times M \times x,⠇⠩⠠⠉⠈⠡⠠⠇⠈⠡⠠⠍⠈⠡⠭⠇⠱,Multiplication Variables,Middle
"latex2nemeth: \int\subscript-b \infty \superscript-b 0 \superscript-e \ln x \, dy",⠇⠩⠮⠰⠿⠘⠴⠐⠇⠝⠭⠀⠙⠽⠇⠱,Improper Integral,High
latex2nemeth: Y \div A \div I \div p,⠇⠩⠠⠽⠨⠌⠠⠁⠨⠌⠠⠊⠨⠌⠏⠇⠱,Division Variables,Middle
latex2nemeth: \frac-b 5 \frac-separator 3 \frac-e \times \frac-b 1 \frac-separator 1 \frac-e \times \frac-b 1 \frac-separator 2 \frac-e \times \frac-b 1 \frac-separator 9 \frac-e,⠇⠩⠹⠢⠌⠒⠼⠈⠡⠹⠂⠌⠂⠼⠈⠡⠹⠂⠌⠆⠼⠈⠡⠹⠂⠌⠔⠼⠇⠱,Multiplication Fractions,Middle
latex2nemeth: 52\sqrt-b 24959 \sqrt-e,⠇⠩⠼⠢⠆⠜⠆⠲⠔⠢⠔⠻⠇⠱,Surd with Coefficient,Middle
latex2nemeth: 67\sqrt-b 5815 \sqrt-e,⠇⠩⠼⠖⠶⠜⠢⠦⠂⠢⠻⠇⠱,Surd with Coefficient,Middle
latex2nemeth: e\superscript-b 2 \superscript-e,⠇⠩⠑⠘⠆⠐⠇⠱,Exponential,High
latex2nemeth: \frac-b 64 \frac-separator 41 \frac-e,⠇⠩⠹⠖⠲⠌⠲⠂⠼⠇⠱,Fraction,Elementary
"latex2nemeth: \int\subscript-b 4 \superscript-b 7 \superscript-e e\superscript-b x \superscript-e \, dx",⠇⠩⠮⠰⠲⠘⠶⠐⠑⠘⠭⠐⠙⠭⠇⠱,Definite Integral,High
"latex2nemeth: \int\subscript-b 4 \superscript-b 6 \superscript-e x\superscript-b 2 \superscript-e \, dx",⠇⠩⠮⠰⠲⠘⠖⠐⠭⠘⠆⠐⠙⠭⠇⠱,Definite Integral,High
latex2nemeth: 1.47 + 47.44 + 56.14 + 64.03,⠇⠩⠼⠂⠨⠲⠶⠬⠼⠲⠶⠨⠲⠲⠬⠼⠢⠖⠨⠂⠲⠬⠼⠖⠲⠨⠴⠒⠇⠱,Multi-Term Addition Decimals,Elementary
latex2nemeth: 0,⠇⠩⠼⠴⠇⠱,Single Digits,Elementary
latex2nemeth: \frac-b F + 5 \frac-separator 9 \frac-e,⠇⠩⠹⠠⠋⠬⠢⠌⠔⠼⠇⠱,Fraction with Variable,Middle
latex2nemeth: 4,⠇⠩⠼⠲⠇⠱,Single Digits,Elementary
latex2nemeth: -5a\superscript-b 3 \superscript-e + 1a\superscript-b 2 \superscript-e + 0a + -2 = 0,⠇⠩⠤⠼⠢⠁⠘⠒⠐⠬⠼⠂⠁⠘⠆⠐⠬⠼⠴⠁⠬⠤⠼⠆⠨⠨⠼⠴⠇⠱,Cubic Expanded,High
latex2nemeth: 3 \times 8 \times 9 \times 7,⠇⠩⠼⠒⠈⠡⠼⠦⠈⠡⠼⠔⠈⠡⠼⠶⠇⠱,Multiplication Integers,Elementary
latex2nemeth: A \subseteq X,⠇⠩⠠⠁ ⠸⠐⠅⠱ ⠠⠭⠇⠱,Set Notation,Middle
latex2nemeth: 8 \mixedfrac-b 2 \frac-separator 6 \mixedfrac-e,⠇⠩⠼⠦⠸⠹⠆⠌⠖⠸⠼⠇⠱,Mixed fraction,Elementary
latex2nemeth: 5 \div 8 \div 10 \div 10,⠇⠩⠼⠢⠨⠌⠼⠦⠨⠌⠼⠂⠴⠨⠌⠼⠂⠴⠇⠱,Division Integers,Elementary
latex2nemeth: 2\superscript-b 84 \superscript-e,⠇⠩⠼⠆⠘⠦⠲⠐⠇⠱,Exponential Equation,High
latex2nemeth: 180,⠇⠩⠼⠂⠦⠴⠇⠱,Three Digits,Elementary
latex2nemeth: 48.0,⠇⠩⠼⠲⠦⠨⠴⠇⠱,Decimal Single,Elementary
"latex2nemeth: \int\subscript-b 1 \superscript-b 10 \superscript-e \sin x \, dx",⠇⠩⠮⠰⠂⠘⠂⠴⠐⠎⠊⠝⠭⠀⠙⠭⠇⠱,Definite Integral,High
latex2nemeth: B \supseteq Y,⠇⠩⠠⠃ ⠸⠨⠂⠱ ⠠⠽⠇⠱,Set Notation,Middle
latex2nemeth: \frac-b 9 \frac-separator 4 \frac-e - \frac-b 5 \frac-separator 9 \frac-e - \frac-b 6 \frac-separator 5 \frac-e - \frac-b 4 \frac-separator 1 \frac-e,⠇⠩⠹⠔⠌⠲⠼⠤⠹⠢⠌⠔⠼⠤⠹⠖⠌⠢⠼⠤⠹⠲⠌⠂⠼⠇⠱,Subtraction Fractions,Middle
latex2nemeth: 757.422,⠇⠩⠼⠶⠢⠶⠨⠲⠆⠆⠇⠱,Decimal Triple,Elementary
latex2nemeth: \frac-b o + 5 \frac-separator 8 \frac-e \leq 9,⠇⠩⠹⠕⠬⠢⠌⠦⠼ ⠐⠅⠱ ⠔⠇⠱,Fraction Inequality,High
latex2nemeth: .45,⠇⠩⠼⠨⠲⠢⠇⠱,Decimal starting with point,Elementary
latex2nemeth: -11\superscript-b 59 \superscript-e,⠇⠩⠤⠼⠂⠂⠘⠢⠔⠐⠇⠱,Exponential Equation,High
latex2nemeth: 569.974,⠇⠩⠼⠢⠖⠔⠨⠔⠶⠲⠇⠱,Decimal Triple,Elementary
latex2nemeth: b + J + I + U,⠇⠩⠃⠬⠠⠚⠬⠠⠊⠬⠠⠥⠇⠱,Addition Variables,Middle
latex2nemeth: (b + 1)(b + 4) = 0,⠇⠩⠷⠃⠬⠼⠂⠾⠷⠃⠬⠼⠲⠾⠨⠨⠼⠴⠇⠱,Quadratic Factored Form,High
latex2nemeth: 3.65 + 76.53,⠇⠩⠼⠒⠨⠖⠢⠬⠼⠶⠖⠨⠢⠒⠇⠱,Decimal Addition,Elementary
latex2nemeth: 10x + 3x = 68,⠇⠩⠼⠂⠴⠭⠬⠼⠒⠭⠨⠨⠼⠖⠦⠇⠱,Linear Equation Mult Vars,Middle
latex2nemeth: |X - 1| > 3,⠇⠩⠳⠠⠭⠤⠂⠳⠼⠒⠇⠱,Absolute Value Inequality,High
latex2nemeth: 16,⠇⠩⠼⠂⠖⠇⠱,Double Digits,Elementary
latex2nemeth: 60!,⠇⠩⠼⠖⠴⠯⠇⠱,Factorial,Middle
latex2nemeth: 21!,⠇⠩⠼⠆⠂⠯⠇⠱,Factorial,Middle
latex2nemeth: -2i\superscript-b 3 \superscript-e + 2i\superscript-b 2 \superscript-e + -4i + -1 = 0,⠇⠩⠤⠼⠆⠊⠘⠒⠐⠬⠼⠆⠊⠘⠆⠐⠬⠤⠼⠲⠊⠬⠤⠼⠂⠨⠨⠼⠴⠇⠱,Cubic Expanded,High
latex2nemeth: 76!,⠇⠩⠼⠶⠖⠯⠇⠱,Factorial,Middle
latex2nemeth: 2Y\superscript-b 3 \superscript-e + -4Y\superscript-b 2 \superscript-e + -3Y + -1 = 0,⠇⠩⠼⠆⠠⠽⠘⠒⠐⠬⠤⠼⠲⠠⠽⠘⠆⠐⠬⠤⠼⠒⠠⠽⠬⠤⠼⠂⠨⠨⠼⠴⠇⠱,Cubic Expanded,High
latex2nemeth: 53.33 + 26.18 + 41.16 + 49.02,⠇⠩⠼⠢⠒⠨⠒⠒⠬⠼⠆⠖⠨⠂⠦⠬⠼⠲⠂⠨⠂⠖⠬⠼⠲⠔⠨⠴⠆⠇⠱,Multi-Term Addition Decimals,Elementary
latex2nemeth: \frac-b 10 \frac-separator 9 \frac-e \times \frac-b 5 \frac-separator 6 \frac-e \times \frac-b 1 \frac-separator 1 \frac-e \times \frac-b 5 \frac-separator 2 \frac-e,⠇⠩⠹⠂⠴⠌⠔⠼⠈⠡⠹⠢⠌⠖⠼⠈⠡⠹⠂⠌⠂⠼⠈⠡⠹⠢⠌⠆⠼⠇⠱,Multiplication Fractions,Middle
latex2nemeth: \frac-b J + 1 \frac-separator 9 \frac-e,⠇⠩⠹⠠⠚⠬⠂⠌⠔⠼⠇⠱,Fraction with Variable,Middle
latex2nemeth: N - T - p - y,⠇⠩⠠⠝⠤⠠⠞⠤⠏⠤⠽⠇⠱,Subtraction Variables,Middle
latex2nemeth: \frac-b 7 \frac-separator 1 \frac-e \div \frac-b 3 \frac-separator 2 \frac-e \div \frac-b 2 \frac-separator 3 \frac-e \div \frac-b 5 \frac-separator 3 \frac-e,⠇⠩⠹⠶⠌⠂⠼⠨⠌⠹⠒⠌⠆⠼⠨⠌⠹⠆⠌⠒⠼⠨⠌⠹⠢⠌⠒⠼⠇⠱,Division Fractions,Middle
latex2nemeth: |q - 5| < 8,⠇⠩⠳⠟⠤⠢⠳⠼⠦⠇⠱,Absolute Value Inequality,High
latex2nemeth: 43 > 52,⠇⠩⠼⠲⠒ ⠨⠂ ⠼⠢⠆⠇⠱,Inequality,Middle
latex2nemeth: -32 + -24,⠇⠩⠤⠼⠒⠆⠬⠤⠼⠆⠲⠇⠱,Addition,Elementary
latex2nemeth: b + 84 = 89,⠇⠩⠃⠬⠼⠦⠲⠨⠨⠼⠦⠔⠇⠱,Variable Expression,Middle
latex2nemeth: 3R\superscript-b 3 \superscript-e + -2R\superscript-b 2 \superscript-e + 5R + -1 = 0,⠇⠩⠼⠒⠠⠗⠘⠒⠐⠬⠤⠼⠆⠠⠗⠘⠆⠐⠬⠼⠢⠠⠗⠬⠤⠼⠂⠨⠨⠼⠴⠇⠱,Cubic Expanded,High
latex2nemeth: 92 + 59 + 7 + 83,⠇⠩⠼⠔⠆⠬⠼⠢⠔⠬⠼⠶⠬⠼⠦⠒⠇⠱,Addition Integers,Elementary
latex2nemeth: B \supseteq Z,⠇⠩⠠⠃ ⠸⠨⠂⠱ ⠠⠵⠇⠱,Set Notation,Middle
"latex2nemeth: \int\subscript-b \infty \superscript-b 0 \superscript-e \ln x \, dy",⠇⠩⠮⠰⠿⠘⠴⠐⠇⠝⠭⠀⠙⠽⠇⠱,Improper Integral,High
latex2nemeth: 74.0 + 34.16,⠇⠩⠼⠶⠲⠨⠴⠬⠼⠒⠲⠨⠂⠖⠇⠱,Decimal Addition,Elementary
latex2nemeth: -25 \bmod 3,⠇⠩⠤⠼⠆⠢ ⠍⠕⠙ ⠼⠒⠇⠱,Modulus,Middle
latex2nemeth: -434 \div 62,⠇⠩⠤⠼⠲⠒⠲⠨⠌⠼⠖⠆⠇⠱,Division,Elementary
latex2nemeth: 95\sqrt-b 9941 \sqrt-e,⠇⠩⠼⠔⠢⠜⠔⠔⠲⠂⠻⠇⠱,Surd with Coefficient,Middle
latex2nemeth: 14a\superscript-b 3 \superscript-e + -73a\superscript-b 2 \superscript-e + 88a + -18,⠇⠩⠼⠂⠲⠁⠘⠒⠐⠬⠤⠼⠶⠒⠁⠘⠆⠐⠬⠼⠦⠦⠁⠬⠤⠼⠂⠦⠇⠱,Cubic Equation,High
latex2nemeth: \sqrtib {38} \sqrtie \sqrt-b 45 \sqrt-e,⠇⠩⠣⠒⠦⠼⠲⠢⠻⠇⠱,Cube Root,Middle
latex2nemeth: 41.4,⠇⠩⠼⠲⠂⠨⠲⠇⠱,Decimal Single,Elementary
latex2nemeth: 10x + 3z = 48,⠇⠩⠼⠂⠴⠭⠬⠼⠒⠵⠨⠨⠼⠲⠦⠇⠱,Linear Equation Mult Vars,Middle
latex2nemeth: 7 \div 3 \div 6 \div 9,⠇⠩⠼⠶⠨⠌⠼⠒⠨⠌⠼⠖⠨⠌⠼⠔⠇⠱,Division Integers,Elementary
latex2nemeth: 10 \div 7 \div 7 \div 5,⠇⠩⠼⠂⠴⠨⠌⠼⠶⠨⠌⠼⠶⠨⠌⠼⠢⠇⠱,Division Integers,Elementary
latex2nemeth: -6478 \div 79,⠇⠩⠤⠼⠖⠲⠶⠦⠨⠌⠼⠶⠔⠇⠱,Division,Elementary
latex2nemeth: x + p + Y + J,⠇⠩⠭⠬⠏⠬⠠⠽⠬⠠⠚⠇⠱,Addition Variables,Middle
latex2nemeth: B \notin X,⠇⠩⠠⠃ ⠌⠈⠑ ⠠⠭⠇⠱,Set Operations,Middle
latex2nemeth: \sqrt-b 955 \sqrt-e,⠇⠩⠜⠔⠢⠢⠻⠇⠱,Square Root,Elementary
latex2nemeth: \frac-b 4 \frac-separator 1 \frac-e - \frac-b 3 \frac-separator 1 \frac-e - \frac-b 5 \frac-separator 2 \frac-e - \frac-b 1 \frac-separator 10 \frac-e,⠇⠩⠹⠲⠌⠂⠼⠤⠹⠒⠌⠂⠼⠤⠹⠢⠌⠆⠼⠤⠹⠂⠌⠂⠴⠼⠇⠱,Subtraction Fractions,Middle
latex2nemeth: 99 + 44,⠇⠩⠼⠔⠔⠬⠼⠲⠲⠇⠱,Addition,Elementary
latex2nemeth: 98 - 16,⠇⠩⠼⠔⠦⠤⠼⠂⠖⠇⠱,Subtraction,Elementary
latex2nemeth: -2 < G \leq 4,⠇⠩⠤⠼⠆ ⠐⠅ ⠠⠛ ⠐⠅⠱ ⠼⠲⠇⠱,Compound Inequality,High
latex2nemeth: u\subscript-b 151 \subscript-e,⠇⠩⠥⠰⠂⠢⠂⠐⠇⠱,Subscripts,Middle
latex2nemeth: .69,⠇⠩⠼⠨⠖⠔⠇⠱,Decimal starting with point,Elementary
latex2nemeth: 6z + 2y = 32,⠇⠩⠼⠖⠵⠬⠼⠆⠽⠨⠨⠼⠒⠆⠇⠱,Linear Equation Mult Vars,Middle
latex2nemeth: |Y - 8| \geq 3,⠇⠩⠳⠠⠽⠤⠦⠳⠼⠒⠇⠱,Absolute Value Inequality,High
latex2nemeth: I \div r \div N \div Q,⠇⠩⠠⠊⠨⠌⠗⠨⠌⠠⠝⠨⠌⠠⠟⠇⠱,Division Variables,Middle
latex2nemeth: 49,⠇⠩⠼⠲⠔⠇⠱,Double Digits,Elementary
latex2nemeth: \frac-b 9 \frac-separator 8 \frac-e \div \frac-b 4 \frac-separator 7 \frac-e \div \frac-b 8 \frac-separator 7 \frac-e \div \frac-b 3 \frac-separator 10 \frac-e,⠇⠩⠹⠔⠌⠦⠼⠨⠌⠹⠲⠌⠶⠼⠨⠌⠹⠦⠌⠶⠼⠨⠌⠹⠒⠌⠂⠴⠼⠇⠱,Division Fractions,Middle
latex2nemeth: 61.22 + 33.58,⠇⠩⠼⠖⠂⠨⠆⠆⠬⠼⠒⠒⠨⠢⠦⠇⠱,Decimal Addition,Elementary
latex2nemeth: 62.03 + 15.29,⠇⠩⠼⠖⠆⠨⠴⠒⠬⠼⠂⠢⠨⠆⠔⠇⠱,Decimal Addition,Elementary
latex2nemeth: (T + 1)\superscript-b 2 \superscript-e - 5\superscript-b 2 \superscript-e = 0,⠇⠩⠷⠠⠞⠬⠼⠂⠾⠘⠆⠐⠤⠼⠢⠘⠆⠐⠨⠨⠼⠴⠇⠱,Quadratic Completed Square,High
latex2nemeth: 20.69 + 91.26,⠇⠩⠼⠆⠴⠨⠖⠔⠬⠼⠔⠂⠨⠆⠖⠇⠱,Decimal Addition,Elementary
latex2nemeth: -91T\superscript-b 2 \superscript-e + -64T + -32,⠇⠩⠤⠼⠔⠂⠠⠞⠘⠆⠐⠬⠤⠼⠖⠲⠠⠞⠬⠤⠼⠒⠆⠇⠱,Quadratic Equations,High
latex2nemeth: 10 \times 8 \times 1 \times 6,⠇⠩⠼⠂⠴⠈⠡⠼⠦⠈⠡⠼⠂⠈⠡⠼⠖⠇⠱,Multiplication Integers,Elementary
latex2nemeth: 2.94 \times 0.35,⠇⠩⠼⠆⠨⠔⠲⠈⠡⠼⠴⠨⠒⠢⠇⠱,Decimal Multiplication,Elementary
latex2nemeth: .98,⠇⠩⠼⠨⠔⠦⠇⠱,Decimal starting with point,Elementary
latex2nemeth: -90 + 52,⠇⠩⠤⠼⠔⠴⠬⠼⠢⠆⠇⠱,Addition,Elementary
latex2nemeth: 7 \bmod 3,⠇⠩⠼⠶ ⠍⠕⠙ ⠼⠒⠇⠱,Modulus,Middle
"latex2nemeth: \int\subscript-b 1 \superscript-b 8 \superscript-e x\superscript-b 2 \superscript-e \, dy",⠇⠩⠮⠰⠂⠘⠦⠐⠭⠘⠆⠐⠙⠽⠇⠱,Definite Integral,High
latex2nemeth: 2\superscript-b 5 \superscript-e,⠇⠩⠼⠆⠘⠢⠐⠇⠱,Exponential Equation,High
latex2nemeth: 4,⠇⠩⠼⠲⠇⠱,Single Digits,Elementary
latex2nemeth: 53.66 - 71.64 - 53.87 - 9.53,⠇⠩⠼⠢⠒⠨⠖⠖⠤⠼⠶⠂⠨⠖⠲⠤⠼⠢⠒⠨⠦⠶⠤⠼⠔⠨⠢⠒⠇⠱,Multi-Term Subtraction Decimals,Elementary
latex2nemeth: 10\superscript-b 3 \superscript-e,⠇⠩⠼⠂⠴⠘⠒⠐⠇⠱,Exponential,High
latex2nemeth: 2.44 \times 1.34,⠇⠩⠼⠆⠨⠲⠲⠈⠡⠼⠂⠨⠒⠲⠇⠱,Decimal Multiplication,Elementary
latex2nemeth: 9 \bmod 4,⠇⠩⠼⠔ ⠍⠕⠙ ⠼⠲⠇⠱,Modulus,Middle
latex2nemeth: 9 \times 8 \times 10 \times 9,⠇⠩⠼⠔⠈⠡⠼⠦⠈⠡⠼⠂⠴⠈⠡⠼⠔⠇⠱,Multiplication Integers,Elementary
latex2nemeth: 405.1,⠇⠩⠼⠲⠴⠢⠨⠂⠇⠱,Decimal Single,Elementary
latex2nemeth: \sqrt-b 8 \sqrt-e,⠇⠩⠜⠦⠻⠇⠱,Square Root,Elementary
latex2nemeth: 40.57 + 77.42 + 18.0 + 15.66,⠇⠩⠼⠲⠴⠨⠢⠶⠬⠼⠶⠶⠨⠲⠆⠬⠼⠂⠦⠨⠴⠬⠼⠂⠢⠨⠖⠖⠇⠱,Multi-Term Addition Decimals,Elementary
latex2nemeth: v + 45 = 1,⠇⠩⠧⠬⠼⠲⠢⠨⠨⠼⠂⠇⠱,Variable Expression,Middle
latex2nemeth: 56.05 - 28.43 - 13.38 - 2.39,⠇⠩⠼⠢⠖⠨⠴⠢⠤⠼⠆⠦⠨⠲⠒⠤⠼⠂⠒⠨⠒⠦⠤⠼⠆⠨⠒⠔⠇⠱,Multi-Term Subtraction Decimals,Elementary
latex2nemeth: \sqrtib {83} \sqrtie \sqrt-b 43 \sqrt-e,⠇⠩⠣⠦⠒⠼⠲⠒⠻⠇⠱,Cube Root,Middle
latex2nemeth: Y + x + Q + E,⠇⠩⠠⠽⠬⠭⠬⠠⠟⠬⠠⠑⠇⠱,Addition Variables,Middle
latex2nemeth: 6l + -75 \leq -78,⠇⠩⠼⠖⠇⠬⠤⠼⠶⠢ ⠐⠅⠱ ⠤⠼⠶⠦⠇⠱,Variable Inequality,Middle
latex2nemeth: 737,⠇⠩⠼⠶⠒⠶⠇⠱,Three Digits,Elementary
latex2nemeth: B \subseteq Y,⠇⠩⠠⠃ ⠸⠐⠅⠱ ⠠⠽⠇⠱,Set Operations,Middle
latex2nemeth: (s + 2)\superscript-b 2 \superscript-e - 3\superscript-b 2 \superscript-e = 0,⠇⠩⠷⠎⠬⠼⠆⠾⠘⠆⠐⠤⠼⠒⠘⠆⠐⠨⠨⠼⠴⠇⠱,Quadratic Completed Square,High
latex2nemeth: 2\superscript-b 2 \superscript-e,⠇⠩⠼⠆⠘⠆⠐⠇⠱,Exponential,High
latex2nemeth: 5 \div 6 \div 8 \div 6,⠇⠩⠼⠢⠨⠌⠼⠖⠨⠌⠼⠦⠨⠌⠼⠖⠇⠱,Division Integers,Elementary
latex2nemeth: 499,⠇⠩⠼⠲⠔⠔⠇⠱,Three Digits,Elementary
latex2nemeth: \frac-b 18 \frac-separator 25 \frac-e,⠇⠩⠹⠂⠦⠌⠆⠢⠼⠇⠱,Fraction,Elementary
latex2nemeth: 1225 \div 49,⠇⠩⠼⠂⠆⠆⠢⠨⠌⠼⠲⠔⠇⠱,Division,Elementary
latex2nemeth: F \div x \div t \div M,⠇⠩⠠⠋⠨⠌⠭⠨⠌⠞⠨⠌⠠⠍⠇⠱,Division Variables,Middle
latex2nemeth: 222.981,⠇⠩⠼⠆⠆⠆⠨⠔⠦⠂⠇⠱,Decimal Triple,Elementary
latex2nemeth: 982,⠇⠩⠼⠔⠦⠆⠇⠱,Three Digits,Elementary
latex2nemeth: -38\superscript-b 957 \superscript-e,⠇⠩⠤⠼⠒⠦⠘⠔⠢⠶⠐⠇⠱,Power,Middle
latex2nemeth: \frac-b 2 \frac-separator 3 \frac-e \times \frac-b 3 \frac-separator 4 \frac-e \times \frac-b 7 \frac-separator 6 \frac-e \times \frac-b 2 \frac-separator 3 \frac-e,⠇⠩⠹⠆⠌⠒⠼⠈⠡⠹⠒⠌⠲⠼⠈⠡⠹⠶⠌⠖⠼⠈⠡⠹⠆⠌⠒⠼⠇⠱,Multiplication Fractions,Middle
latex2nemeth: 4468,⠇⠩⠼⠲⠲⠖⠦⠇⠱,Large Numbers,Middle
latex2nemeth: \frac-b 2 \frac-separator 7 \frac-e \times \frac-b 1 \frac-separator 2 \frac-e \times \frac-b 5 \frac-separator 8 \frac-e \times \frac-b 1 \frac-separator 5 \frac-e,⠇⠩⠹⠆⠌⠶⠼⠈⠡⠹⠂⠌⠆⠼⠈⠡⠹⠢⠌⠦⠼⠈⠡⠹⠂⠌⠢⠼⠇⠱,Multiplication Fractions,Middle
latex2nemeth: 58 - -95,⠇⠩⠼⠢⠦⠤⠤⠼⠔⠢⠇⠱,Subtraction,Elementary
latex2nemeth: E \times T \times V \times o,⠇⠩⠠⠑⠈⠡⠠⠞⠈⠡⠠⠧⠈⠡⠕⠇⠱,Multiplication Variables,Middle
latex2nemeth: -89533,⠇⠩⠤⠼⠦⠔⠢⠒⠒⠇⠱,Large Numbers,Middle
latex2nemeth: 7 \mixedfrac-b 9 \frac-separator 10 \mixedfrac-e,⠇⠩⠼⠶⠸⠹⠔⠌⠂⠴⠸⠼⠇⠱,Mixed fraction,Elementary
latex2nemeth: \sqrtib {28} \sqrtie \sqrt-b 13 \sqrt-e,⠇⠩⠣⠆⠦⠼⠂⠒⠻⠇⠱,Cube Root,Middle
latex2nemeth: 11d\superscript-b 3 \superscript-e + -8d\superscript-b 2 \superscript-e + -66d + 38,⠇⠩⠼⠂⠂⠙⠘⠒⠐⠬⠤⠼⠦⠙⠘⠆⠐⠬⠤⠼⠖⠖⠙⠬⠼⠒⠦⠇⠱,Cubic Equation,High
latex2nemeth: 1 \times 9 \times 8 \times 8,⠇⠩⠼⠂⠈⠡⠼⠔⠈⠡⠼⠦⠈⠡⠼⠦⠇⠱,Multiplication Integers,Elementary
latex2nemeth: -99\superscript-b 167 \superscript-e,⠇⠩⠤⠼⠔⠔⠘⠂⠖⠶⠐⠇⠱,Power,Middle
latex2nemeth: n + s + n + O,⠇⠩⠝⠬⠎⠬⠝⠬⠠⠕⠇⠱,Addition Variables,Middle
latex2nemeth: \sinh(351\superscript-b \circ \superscript-e),⠇⠩⠎⠊⠝⠓ ⠷⠼⠒⠢⠂⠘⠨⠡⠐⠾⠇⠱,Trig,High
latex2nemeth: 66 \bmod 8,⠇⠩⠼⠖⠖ ⠍⠕⠙ ⠼⠦⠇⠱,Modulus,Middle
latex2nemeth: \sqrt-b 792 \sqrt-e,⠇⠩⠜⠶⠔⠆⠻⠇⠱,Square Root,Elementary
latex2nemeth: 42 \bmod 8,⠇⠩⠼⠲⠆ ⠍⠕⠙ ⠼⠦⠇⠱,Modulus,Middle
latex2nemeth: \sqrt-b 404 \sqrt-e,⠇⠩⠜⠲⠴⠲⠻⠇⠱,Square Root,Elementary
latex2nemeth: 72.86 + 16.18 + 81.02 + 49.42,⠇⠩⠼⠶⠆⠨⠦⠖⠬⠼⠂⠖⠨⠂⠦⠬⠼⠦⠂⠨⠴⠆⠬⠼⠲⠔⠨⠲⠆⠇⠱,Multi-Term Addition Decimals,Elementary
latex2nemeth: \sin(282\superscript-b \circ \superscript-e),⠇⠩⠎⠊⠝⠷⠼⠆⠦⠆⠘⠨⠡⠐⠾⠇⠱,Trig,High
latex2nemeth: 8.72 \times 6.87,⠇⠩⠼⠦⠨⠶⠆⠈⠡⠼⠖⠨⠦⠶⠇⠱,Decimal Multiplication,Elementary
latex2nemeth: \frac-b 10 \frac-separator 7 \frac-e + \frac-b 4 \frac-separator 3 \frac-e + \frac-b 2 \frac-separator 5 \frac-e + \frac-b 5 \frac-separator 7 \frac-e,⠇⠩⠹⠂⠴⠌⠶⠼⠬⠹⠲⠌⠒⠼⠬⠹⠆⠌⠢⠼⠬⠹⠢⠌⠶⠼⠇⠱,Addition Fractions,Middle
latex2nemeth: 8 \times 10 \times 2 \times 4,⠇⠩⠼⠦⠈⠡⠼⠂⠴⠈⠡⠼⠆⠈⠡⠼⠲⠇⠱,Multiplication Integers,Elementary
latex2nemeth: 5y + 6z = 57,⠇⠩⠼⠢⠽⠬⠼⠖⠵⠨⠨⠼⠢⠶⠇⠱,Linear Equation Mult Vars,Middle
latex2nemeth: 4.38 \times 2.35,⠇⠩⠼⠲⠨⠒⠦⠈⠡⠼⠆⠨⠒⠢⠇⠱,Decimal Multiplication,Elementary
latex2nemeth: B \notin Y,⠇⠩⠠⠃ ⠌⠈⠑ ⠠⠽⠇⠱,Set Operations,Middle
latex2nemeth: 10\superscript-b 5 \superscript-e,⠇⠩⠼⠂⠴⠘⠢⠐⠇⠱,Exponential,High
latex2nemeth: 627.508,⠇⠩⠼⠖⠆⠶⠨⠢⠴⠦⠇⠱,Decimal Triple,Elementary
latex2nemeth: \log\subscript-b a \subscript-e(91),⠇⠩⠇⠕⠛ ⠰⠁⠐⠷⠼⠔⠂⠾⠇⠱,Logarithm,High
latex2nemeth: -49831,⠇⠩⠤⠼⠲⠔⠦⠒⠂⠇⠱,Large Numbers,Middle
latex2nemeth: 9.55 - 89.36 - 10.43 - 41.13,⠇⠩⠼⠔⠨⠢⠢⠤⠼⠦⠔⠨⠒⠖⠤⠼⠂⠴⠨⠲⠒⠤⠼⠲⠂⠨⠂⠒⠇⠱,Multi-Term Subtraction Decimals,Elementary
latex2nemeth: \frac-b 3 \frac-separator 1 \frac-e \times \frac-b 2 \frac-separator 3 \frac-e \times \frac-b 1 \frac-separator 1 \frac-e \times \frac-b 8 \frac-separator 9 \frac-e,⠇⠩⠹⠒⠌⠂⠼⠈⠡⠹⠆⠌⠒⠼⠈⠡⠹⠂⠌⠂⠼⠈⠡⠹⠦⠌⠔⠼⠇⠱,Multiplication Fractions,Middle
latex2nemeth: \frac-b 8 \frac-separator 9 \frac-e \div \frac-b 4 \frac-separator 1 \frac-e \div \frac-b 4 \frac-separator 3 \frac-e \div \frac-b 8 \frac-separator 7 \frac-e,⠇⠩⠹⠦⠌⠔⠼⠨⠌⠹⠲⠌⠂⠼⠨⠌⠹⠲⠌⠒⠼⠨⠌⠹⠦⠌⠶⠼⠇⠱,Division Fractions,Middle
latex2nemeth: N \div F \div s \div s,⠇⠩⠠⠝⠨⠌⠠⠋⠨⠌⠎⠨⠌⠎⠇⠱,Division Variables,Middle
latex2nemeth: 7.77 \times 7.68,⠇⠩⠼⠶⠨⠶⠶⠈⠡⠼⠶⠨⠖⠦⠇⠱,Decimal Multiplication,Elementary
latex2nemeth: 4,⠇⠩⠼⠲⠇⠱,Single Digits,Elementary
latex2nemeth: -66 \bmod 7,⠇⠩⠤⠼⠖⠖ ⠍⠕⠙ ⠼⠶⠇⠱,Modulus,Middle
latex2nemeth: 7z + 9z = 18,⠇⠩⠼⠶⠵⠬⠼⠔⠵⠨⠨⠼⠂⠦⠇⠱,Linear Equation Mult Vars,Middle
